Date,Location,Operator,Aboard,Fatalities,Summary
"Date:May 28, 2003","Location:Talkeetna, Alaska",Operator:McKinley Air Service - Air Taxi,Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),"Summary:The airplane was destroyed during a collision with snow-covered glacial terrain following a loss of control during cruise flight, about 40 miles north-northwest of Talkeetna, Alaska. The airplane was being operated as a visual flight rules. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall, an uncontrolled descent and in-flight collision with terrain. A factor associated with the accident was rising terrain"
"Date:June 01, 2003","Location:Milan, Italy",Operator:Eurojet Italila,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:Shortly after taking off the jet nosed into the ground. Malfunction of the trim tab system.
"Date:June 04, 2003","Location:Near Oiapoque,  Brazil",Operator:Air Taxi - Marco Zero Air Taxi,Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:Forty miles into it flight the aircraft crashed into the Amazon forest. The aircraft was not certified for IFR flight. Heavy cloud cover existed along the flight route.
"Date:June 06, 2003","Location:Christchurch, New Zealand",Operator:Charter - Air Adventures New Zealand Ltd,Aboard:10   (passengers:9  crew:1),Fatalities:8   (passengers:7  crew:1),"Summary:The aircraft crashed short of the runway in fog while on approach to Christchurch Airport. The plane crashed two kilometers from the airport, hitting a farm hedge and sliding across a paddock before smashing into a row of trees."
"Date:June 11, 2003","Location:Belo Horizonte, Brazil",Operator:Astro Air Taxi,Aboard:4   (passengers:2  crew:2),Fatalities:4   (passengers:2  crew:2),"Summary:After takeoff, the pilot reported low pressure of oil  in an engine and  decided to return to the airport. The plane made a 270 degree turn in the final approach, stalled  and crashed to the ground."
"Date:June 15, 2003","Location:Volcano, Hawaii",Operator:Paradise Tour Helicopters,Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),"Summary:The helicopter impacted a lava field on the Pulama Pali in the Volcanoes National Park, Volcano, Hawaii.  A loss of engine power due to the fatigue fracture and separation of the compressor coupling adapter. The fatigue fracture was initiated by fretting on the pilot diameter due to both the inadequate design of the coupling and the coaxial misalignment of the spur adapter gear, compressor-coupling adapter, and compressor impeller during recent engine maintenance where the gearbox was removed and replaced. A factor in the accident was the unsuitable nature of the terrain to make an emergency landing."
"Date:June 22, 2003","Location:Near Brest, France",Operator:Brit Air,Aboard:24   (passengers:21  crew:3),Fatalities:1   (passengers:0  crew:1),"Summary:The aircraft crashed onto a road and caught fire 1 km from Brest-Guipavas Airport in France's Brittany region, killing the pilot and injuring three others. There were thunderstorms in the area with 800 meters visibility at the time the accident took place."
"Date:June 25, 2003","Location:Near Rudshour, Iran",Operator:Military - Islamic Republic of Iran Air Force,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),Summary:Nose dived into the ground shortly after takeoff near the Shur River.
"Date:June 25, 2003","Location:Anchor Point, Alaska",Operator:Hallo Bay Air - Air Taxi,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:The airlpane is presumed to have collided with the ocean waters of the Cook Inlet, about 7 miles southwest of Anchor Point, Alaska. No wreckage has been located, and the airplane is presumed to be destroyed. A fatally injured passenger was located on July 3, in ocean waters near Anchor Point. An in-flight collision with water for an undetermined reason."
"Date:June 26, 2003","Location:Near Rooisand Desert Ranch, Namibia",Operator:Comvac Aviation,Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),Summary:Shortly after taking off the air ambulance hit a hill side in the Gamsberg Mountains.
"Date:June 30, 2003","Location:Blida, Algeria",Operator:Military - Algerian Air Force,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),"Summary:The military plane crashed into houses in the Beni Mered neighborhood, west of the Algerian capital, shortly after takeoff from the Boufarik military airport, 25 miles southwest of the capital. Witnesses reported seeing an engine on fire prior to the crash."
"Date:July 01, 2003","Location:Belem, Para, Brazil",Operator:Heringer Air Taxi,Aboard:4   (passengers:2  crew:2),Fatalities:4   (passengers:2  crew:2),Summary:The plane crashed on final approach to Belem Airport during a strong  thunderstorm.
"Date:July 05, 2003","Location:Maca, Rio de Janeiro, Brazil",Operator:BHS - Brazilian Helicopter Services,Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),"Summary:The helicopter  was landing on the helideck of the ship Toisa Mariner, when the tail rotor collided with the flagpole on the ship. The pilot lost the control and the helicopter crashed into the  sea."
"Date:July 08, 2003","Location:Port Sudan, Sudan",Operator:Sudan Airways,Aboard:117   (passengers:106  crew:11),Fatalities:117   (passengers:106  crew:11),"Summary:The plane's crew reported technical difficulties (engine failure) 10 minutes after taking off from Port Sudan Airport. The plane crashed into a hillside, 3 miles from the airport as the crew tried to return and make emergency landing. A three-year-old boy was the only survivor."
"Date:July 13, 2003","Location:Off Treasure Cay, Bahamas",Operator:Air Sunshine,Aboard:10   (passengers:9  crew:1),Fatalities:2   (passengers:2  crew:0),"Summary:Twenty miles west of its destination, at an altitude of 3,500 ft., the right engine began coming apart and throwing parts out of the cowling. Although the right engine was feathered, flaps and gear retracted and full power applied t the left engine, the plane could not maintain altitude and the pilot ditched the aircraft 15 miles from its destination. All passengers and the pilot were able to exit from the plane before it sank but 2 passengers subsequently died. The in-flight failure of the right engine and the pilot's failure to adequately manage the airplane's performance after the engine failed. The right engine failure resulted for inadequate maintenance that was performed by Air Sunshine's maintenance personnel during undocumented maintenance. Contributing to the passenger fatalities was the pilot's failure to provide an emergency briefing after the right engine failed."
"Date:July 13, 2003","Location:Near San Cristobal, Venezuela",Operator:Ruiban & Duran Compania Area,Aboard:10   (passengers:8  crew:2),Fatalities:4   (passengers:4  crew:0),Summary:Crashed atop a hill in Chorro del Indio National Park during a descent to San Cristobal.
"Date:July 19, 2003","Location:Mount Kenya, Kenya",Operator:Ryan Blake Air Charter,Aboard:14   (passengers:12  crew:2),Fatalities:14   (passengers:12  crew:2),"Summary:The plane crashed into the eastern slopes of Mount Kenya at an altitude of 16,355 feet as it attempted to fly around Lenana Peak and land in Samburu National Park. Ten American tourists and 2 pilots were killed when the plane hit the mountain 450 feet below the snow covered peak and disintegrated upon impact. Poor visibility may have been a factor."
"Date:July 23, 2003","Location:Waialeale,Kauai, Hawaii",Operator:Jack Harter Helicopters,Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),"Summary:The helilcopter collided with terrain while maneuvering in the Waialeale Crater, Kauai, Hawaii. The helicopter impacted steep upsloping terrain on the northwestern inside crater wall and was destroyed. The pilot's failure to maintain adequate terrain clearance/altitude while descending over mountainous terrain, and his continued flight into adverse weather. Factors contributing to the accident were clouds and a low ceiling."
"Date:August 04, 2003","Location:Groton, Connecticut",Operator:Jet Pro,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:During a positioning flight the jet crashed into several houses before ending up in a river. The first officer's inadvertent retraction of the flaps during the low altitude maneuvering, which resulted in the inadvertent stall and subsequent in-flight collision with a residential home. Factors in the accident were the captain's decision to perform a low altitude maneuver using excessive bank angle, the flight crews inadequate coordination, and low clouds surrounding the airport."
"Date:August 08, 2003","Location:Tocomita, Venezuela",Operator:Servicios Aeronauticos Sucre (SASCA),Aboard:16   (passengers:14  crew:2),Fatalities:1   (passengers:0  crew:1),Summary:The pilot decided to divert to Tocomita after experiencing engine problems but crashed into trees 100 meters short of the runway.
"Date:August 17, 2003","Location:Near Barrow, Alaska",Operator:Hageland Aviation Services Inc.,Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),"Summary:The cargo plane crashed into the ocean 30.5 miles southwest of Barrow, Alaska. While some wreckage was recovered the pilot and passenger were never recovered."
"Date:August 20, 2003","Location:Kamchatka Peninsula, Russia",Operator:Khalatyrka,Aboard:20   (passengers:19  crew:1),Fatalities:20   (passengers:19  crew:1),"Summary:The helicopter was flying at a 13-meter height when the pilot pulled up its nose in an attempt to avoid a close obstacle. The maneuver caused the helicopter's rotor blades to swing back, slicing its tail, causing the crash. Sakhalin Governor, Igor Farkhutdinov, was among the casualties."
"Date:August 24, 2003","Location:Cap Haitien, Haiti",Operator:Tropical Airways,Aboard:21   (passengers:19  crew:2),Fatalities:21   (passengers:19  crew:2),Summary:The plane crashed shortly after taking off from Cap Haitien Airport. Witnesses reported seeing smoke coming out of the back of the aircraft. The plane then nose dived into a sugarcane field and exploded.
"Date:August 26, 2003","Location:Off Hyannis, Massachusetts",Operator:US Airways Express,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:Shortly after taking off the pilot declared an emergency but the aircraft crashed into Nantucket Sound before he could land. The improper replacement of the forward elevator trim cable, and subsequent inadequate functional check of the maintenance performed, which resulted in a reversal of the elevator trim system and a loss of control in-flight. Factors were the flightcrew's failure to follow the checklist procedures, and the aircraft manufacturer's erroneous depiction of the elevator trim drum in the maintenance manual."
"Date:September 11, 2003","Location:Near Summer Beaver, Canada",Operator:Wasaya Airways,Aboard:8   (passengers:7  crew:1),Fatalities:8   (passengers:7  crew:1),Summary:The aircraft crashed ten kilometers northwest of Summer Beaver one hour after leaving Pickle Lake Airport. Thunderstorm activity was reported along the route.
"Date:September 19, 2003","Location:Del Rio, Texas",Operator:Ameristar Jet Charter,Aboard:2   (passengers:0  crew:2),Fatalities:1   (passengers:0  crew:1),"Summary:After touching down the aircraft did not brake correctly and overran the runway, crashed into a cemetery and burst into flames. The pilot's misjudged distance and speed during the approach to landing, and his failure to obtain the proper touchdown point resulting in an overrun. A contributing factor was the pilot's failure to abort the landing."
"Date:September 19, 2003","Location:Near La Quemada, Mexico",Operator:Military - Mexican Air Force,Aboard:6   (passengers:0  crew:6),Fatalities:6   (passengers:0  crew:6),Summary:Crashed while en route
"Date:September 20, 2003","Location:Near Meadview, Arizona",Operator:Sundance Helicopters,Aboard:7   (passengers:6  crew:1),Fatalities:7   (passengers:6  crew:1),"Summary:The sightseeing helicopter, headed for the bottom of the Grand Canyon, hit the face of a cliff and crashed in rugged terrain killing all aboard. Tourists were supposed to board a pontoon boat when the accident occurred 2/3 of the way down the canyon. The pilot's disregard of safe flying procedures and misjudgment of the helicopter's proximity to terrain. Contributing to the accident was the failure of Sundance Helicopters and the FAA to provide adequate surveillance of Sundance's air tour operations in Descent Canyon."
"Date:September 27, 2003","Location:Gasp, Quebec, Canada",Operator:Les Ailes de Gasp Inc.,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:Cashed as it approached Gasp in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain)."
"Date:October 03, 2003","Location:Off Waikanae, New Zealand",Operator:Air Freight New Zealand,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons."
"Date:October 03, 2003",Location:Sao Gabriel de Cachoeria,Operator:Air taxi - Rumo Notre Air Taxi,Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),"Summary:The plane disappeared shortly after taking off. Wreckage was found at  2 miles south of Gabriels runaway,  in the Amazon forest, 2 days later.  Mechanical failure after the takoff.  Remote area without ATC or radar."
"Date:October 11, 2003","Location:Uriman, Venezuela",Operator:Transmandu,Aboard:2   (passengers:0  crew:2),Fatalities:1   (passengers:0  crew:1),Summary:Crashed into the Caroni River shortly after taking off.
"Date:October 26, 2003","Location:Buenos Aires, Argentina",Operator:CATA Linea Aerea,Aboard:5   (passengers:0  crew:5),Fatalities:5   (passengers:0  crew:5),Summary:Three minutes after taking off from Buenos Aires Airport the crew reported a technical problem and asked to turn around. They were cleared to land on Runway 17 but crashed 30 km southwest of Buenos Aires.
"Date:October 27, 2003","Location:Tampico, Mexico",Operator:Aeroextra,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While on approach on a positioning flight,  in poor weather, the crew decided to go-around turned left and struck a 1,600 ft. hill."
"Date:October 29, 2003","Location:Cody, Wyoming",Operator:FedEx,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions."
"Date:November 02, 2003","Location:Near Hasi, Iraq",Operator:Military - U.S. Army,Aboard:36   (passengers:34  crew:2),Fatalities:15   (passengers:15  crew:0),Summary:The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.
"Date:November 08, 2003","Location:200 miles NE of Derby, Australia",Operator:Heliwork WA Pty Ltd. - Air Taxi,Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),Summary:The helicopter crashed in the remote outback after colliding with terrain. The helicopter was destroyed in the post crash fire. Visual meteorological conditions prevailed at the time of the accident.
"Date:November 08, 2003","Location:Near Ogle, Guyana",Operator:Trans Guyana Airways,Aboard:7   (passengers:4  crew:3),Fatalities:2   (passengers:1  crew:1),Summary:The right engine failed one minute after takeoff. The pilot declared an emergency and made a forced landing in a cane field. The plane hit a ridge and slid approximately 100 ft. before coming to rest. A flight attendant and one passenger received fatal injuries.
"Date:November 15, 2003","Location:Mosul, Iraq",Operator:Military - U.S. Army,Aboard:22   (passengers:18  crew:4),Fatalities:17   (passengers:13  crew:4),Summary:A midair collision occurred between two Black Hawk helicopters. One helicopter was climbing to avoid gunfire when it's rotor struck the other.
"Date:November 29, 2003","Location:Spokane, Washington",Operator:Ameriflight,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The cargo plane struck trees one mile short of the runway. The pilot-in-command's failure to maintain proper glidepath alignment during an ILS approach in poor weather resulting in collision with trees and terrain. Contributing factors were the unreliable status of the primary (NAV 1) ILS receiver (leaving the pilot with only the secondary (NAV 2) ILS receiver), the low ceilings and trees."
"Date:November 29, 2003","Location:Boende, Congo",Operator:Military - Congolese Air Force,Aboard:24   (passengers:18  crew:6),Fatalities:20   (passengers:14  crew:6),Summary:The aircraft suffered a blowout of a tire while taking off for the second time after aborting the first takeoff. The pilot was not able to stop the aircraft and overran the runway and crashed into a small market square
"Date:December 16, 2003","Location:Jellicoe, Ontario, Canada",Operator:Huron Air,Aboard:3   (passengers:2  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:Crashed into Blackwater Lake shortly after taking off from a remote landing strip.
"Date:December 18, 2003","Location:Mitu, Colombia",Operator:Lneas Areas Suramericanas,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While on approach to , the cargo plane obtained the authorization to descend from 23,000 to 7,000 ft. but  disappeared from radar screen when it struck a mountain. Wreckage was found 5 days later."
"Date:December 23, 2003","Location:Helendale, California",Operator:Pavair,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:While en route and cruising at 24,000 ft. the crew of the cargo plane declared an emergency and tried to return to Chino Airport but the aircraft suddenly nose dived and crashed into the Mojave Desert. A loss of airplane control for undetermined reasons."
"Date:December 25, 2003","Location:Cotonou, Benin",Operator:Union des Transports Aeriens de Guinee,Aboard:161   (passengers:151  crew:10),Fatalities:140   (passengers:132  crew:8),"Summary:The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed. The pilot was tried, convicted and sentenced to 20 years in jail by a Lebanese court."
"Date:January 03, 2004","Location:Off Sharm el Sheikh, Egypt",Operator:Flash Air,Aboard:148   (passengers:135  crew:13),Fatalities:148   (passengers:135  crew:13),"Summary:Shortly after taking off,  the aircraft crashed into the Red Sea, 7 miles south of the airport. There were mostly French tourists on board heading home from the holidays. Possibly, the pilot suffered spatial disorientation and the copilot was unwilling to challenge his more experienced superior, however, no decisive cause was ever found."
"Date:January 13, 2004","Location:Tashkent, Uzbekistan",Operator:Uzbekistan Airways,Aboard:37   (passengers:32  crew:5),Fatalities:37   (passengers:32  crew:5),"Summary:Crashed while attempting to land in heavy fog. The aircraft struck a stanchion of approach lights and flipped over, hitting the outside of a wall surrounding the landing area. Crew error."
"Date:February 06, 2004","Location:Bitonja, Bosnia-Herzegovina",Operator:Military - Government of Macedonia,Aboard:9   (passengers:7  crew:2),Fatalities:9   (passengers:7  crew:2),"Summary:The twin engine aircraft crashed in the southern mountains of Bosnia in poor weather conditions, minutes away from landing at Mostar. Macedonian president, Boris Trajkovski, 47, killed along with 6 aids. Pilot error. The two-man crew misinterpreted crucial flight data in stormy weather."
"Date:February 10, 2004","Location:Sharjah, United Arab Emirates",Operator:Kish Airlines,Aboard:46   (passengers:40  crew:6),Fatalities:43   (passengers:37  crew:6),"Summary:The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident."
"Date:March 04, 2004","Location:Bakou, Azerbaijan 	 Bakou, Azerbaijan",Operator:Azov Avia Airlines,Aboard:7   (passengers:0  crew:7),Fatalities:3   (passengers:0  crew:3),"Summary:Shortly after taking off and climbing to about 150 feet, the aircraft pitch down and crashed into a field 4 km from the airport."
"Date:March 16, 2004","Location:Tonopah, Nevada",Operator:Military - United States Air Force,Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:While on approach and during a turn the pilot suffered a sudden cardiac death. Half way through the turn the airplane began a gradual descent until it impacted the ground. The airplane broke up and burst into flames. The pilot willfully deceived flight medical examiners and suppressed medical information and ingested inappropriate medications for a deteriorating and dangerous health condition.
"Date:March 21, 2004","Location:Pyote, Texas",Operator:Air Ambulance - Med-Trans Corp.,Aboard:5   (passengers:4  crew:1),Fatalities:4   (passengers:3  crew:1),"Summary:The helicopter impacted terrain while maneuvering in reduced visibility conditions. The pilot's inadvertent encounter with adverse weather, which resulted in the pilot failing to maintain terrain clearance. Contributing factors were the dark night conditions, the pilot's inadequate preflight preparation and planning, and the pressure to complete the mission induced by the pilot as a result of the nature of the EMS mission."
"Date:May 02, 2004","Location:Near Milpillas, Mexico",Operator:Procuradoria General de la Republica,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:The aircraft crashed and was destroyed following a loss of control while en route at cruise altitude at 23,000 ft. after encountering unfavorable weather conditions."
"Date:May 05, 2004","Location:Carepa, Colombia",Operator:Aerotransportes Petroleros,Aboard:7   (passengers:5  crew:2),Fatalities:3   (passengers:1  crew:2),Summary:While on approach the plane hit the ground 300 ft. short of the runway.
"Date:May 06, 2004","Location:Jiech, Sudan",Operator:Charter - Air Cush,Aboard:10   (passengers:8  crew:2),Fatalities:6   (passengers:5  crew:1),"Summary:The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash."
"Date:May 11, 2004","Location:Dalang, Sudan",Operator:El Magal Aviation,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),Summary:While flying in a thunderstorm the plane hit the side of a mountain. One survivor died a few hours after the accident.
"Date:May 14, 2004","Location:Near Manaus, Brazil",Operator:Rico Linhas Aereas,Aboard:33   (passengers:30  crew:3),Fatalities:33   (passengers:30  crew:3),"Summary:The plane dropped off radar at Manaus' Eduardo Gomes International Airport about 10 miles from the runway after it suspended landing procedures to allow another plane carrying sick people on the way to a hospital to land. The plane crashed in dense jungle, making it difficult for rescue crews to reach the wreckage."
"Date:May 18, 2004","Location:Urumqi, China",Operator:AZAL Cargo Company,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),"Summary:About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport."
"Date:May 18, 2004","Location:Bozoy, Kazakhstan",Operator:Aray-Avia,Aboard:12   (passengers:10  crew:2),Fatalities:1   (passengers:1  crew:0),Summary:Crashed and stalled near the end of the runway while attempting to take off. The aircraft was overloaded.
"Date:May 23, 2004","Location:Mwingi, Kenya",Operator:Blue Bird Aviation,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.
"Date:May 25, 2004","Location:Near Lukla, Nepal",Operator:Yeti Airlines,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident."
"Date:June 08, 2004","Location:Off Libreville, Gabon",Operator:Gabon Express,Aboard:30   (passengers:26  crew:4),Fatalities:19   (passengers:18  crew:1),Summary:The aircraft nosedived into the sea about 100 meters off a beach shortly after taking off from Leon Mba international airport. Engine failure forced the plane back towards the airport.
"Date:June 28, 2004","Location:Near Yengema, Sierra Leone",Operator:United Nations -  UTair Charter,Aboard:24   (passengers:21  crew:3),Fatalities:24   (passengers:21  crew:3),Summary:The helicopter crashed into a slope of a mountain in a forested area. The helicopter took off from the Sierra Leone capital but never arrived at its destination in the western city of Kailahun.
"Date:July 12, 2004","Location:Off Beef Island, British Virgin Islands",Operator:Dodita Air Cargo,Aboard:2   (passengers:0  crew:2),Fatalities:1   (passengers:0  crew:1),"Summary:While en route the cargo plane experienced a fire in the right engine which led to a ditching of the plane. The plane sank in 1,000 ft. of water the copilot was rescued but the captain was never found."
"Date:July 22, 2004","Location:Off  Maca , Rio de Janeiro , Brazil",Operator:BHS - Brazilian Helicopter Service  Air Taxi,Aboard:11   (passengers:9  crew:2),Fatalities:6   (passengers:6  crew:0),"Summary:During the approach to P-31 oil rig, at an altitude of 500 ft, an alarm sounded for the left turbine after which there was a loud noise. Then the main rotor and right turbine lost rotation and the helicopter crashed in the sea."
"Date:July 29, 2004","Location:Ononge, Papua New Guinea",Operator:Airlines of PNG,Aboard:3   (passengers:0  crew:3),Fatalities:2   (passengers:0  crew:2),Summary:The cargo plane diverted to Yongai airport because of bad weather but collided with trees and crashed.The loadmaster was rescued a day later.
"Date:August 13, 2004","Location:Cincinnati, Ohio",Operator:Air Taroma,Aboard:2   (passengers:0  crew:2),Fatalities:1   (passengers:0  crew:1),"Summary:While on approach at night,, the crew reported engine trouble. Shortly after the aircraft crashed on a golf course short of Runway 36R. Fuel starvation resulting from the captain's decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain's inadequate preflight planning, his subsequent distraction during the flight, and contributing to the accident was the flightcrew's failure to monitor the fuel gauges and to recognize that the airplane's changing handling characteristics were caused by a fuel imbalance."
"Date:August 21, 2004","Location:Near Maracay, Venezuela",Operator:Military - Venezuelan Air Force,Aboard:25   (passengers:22  crew:3),Fatalities:25   (passengers:22  crew:3),"Summary:Air traffic controllers lost contact with the plane as it was returning from the Caribbean island of La Orchila and descending through 9,500 ft. The plane crashed in a mountainous region of northeastern Venezuela in thunderstorms. The plane was carrying a mixture of military and civilian passengers."
"Date:August 24, 2004","Location:Near Rostov-on-Don, Russia",Operator:Sibir Airlines,Aboard:46   (passengers:38  crew:8),Fatalities:46   (passengers:38  crew:8),Summary:The plane crashed 19 minutes after taking off from Moscow. It crashed almost simultaneously with a Volga-Avia Express Tupolov134 which crashed at 22:56. Detonation of an exposive device aboard.
"Date:August 24, 2004","Location:Near Toula, Russia",Operator:Volga-Avia Express,Aboard:41   (passengers:34  crew:7),Fatalities:41   (passengers:34  crew:7),Summary:The plane crashed 26 minutes after taking off from Moscow. Witnesses stated they saw the plane explode in midair before crashing. It crashed almost simultaneously with a Sibir Tupolov154 which crashed at 22:59. Detonation of an exposive device aboard.
"Date:August 27, 2004","Location:Near Mc Grath, Alaska",Operator:Mavrik Aire Transport,Aboard:3   (passengers:2  crew:1),Fatalities:1   (passengers:1  crew:0),"Summary:Thirty minutes after departure from McGrath, the pilot encountered low visibility due to smoke and fog. After deciding to fly at a lower altitude, the aircraft struck trees and crashed into a forest. Rescue teams found the bodies and the survivors 2 days later. The pilot's inadequate in-flight planning/decision making, his continued VFR flight into instrument meteorological conditions, and his failure to maintain obstacle clearance. Factors contributing to the accident were low ceilings due to smoke, rain, and mist."
"Date:September 09, 2004","Location:Villahermosa, Mexico",Operator:Jett Paqueteria SA,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:On final approach the cargo flight crashed in a wooded area 3 km from the runway and was destroyed.
"Date:September 11, 2004","Location:Off Mount Athos, Greece",Operator:Military - Greek Army,Aboard:17   (passengers:13  crew:4),Fatalities:17   (passengers:13  crew:4),"Summary:The helicopter crashed into the Aegean Sea, 5.5 nautical miles off Halkidiki peninsula.  Patriarch Petros VII of Alexandria , Egypt, spiritual leader of orthodox Christians throughout Africa, killed along with other clergy."
"Date:September 29, 2004","Location:Tortuguero lagoon, Puerto Rico",Operator:Air Flamence,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The cargo plane hit a heavy rain shower before losing control and crashing into Toruuguero lagoon. The pilot's improper inflight planning which resulted in an inflight encounter with weather (low ceilings and thunderstorms), his loss of aircraft control, and an inflight collision with the ocean during uncontrolled descent."
"Date:October 05, 2004","Location:Kaduqli, Sudan",Operator:Sarit Airlines,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),Summary:The cargo plane reported an engine failure and tried to divert to the nearest airport but crashed and burned in a wooded area about 50 km from Kaduqli.
"Date:October 14, 2004","Location:Halifax, Nova Scotia, Canada",Operator:MK Airlines,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),"Summary:The cargo plane did not gain altitude and ran off the end of the runway and crashed into a forest. The aircraft's lower aft fuselage struck a berm supporting a localizer antenna, resulting in the tail separating from the aircraft, rendering the aircraft uncontrollable. The incorrect V speeds and thrust setting were too low to enable the aircraft to take off safely for the actual weight of the aircraft. The pilots of MKA1602 did not carry out the gross error check in accordance with the company's standard operating procedures (SOPs), and the incorrect take-off performance data were not detected. Crew fatigue."
"Date:October 14, 2004","Location:Jefferson City, Missouri",Operator:Pinnacle Airlines/Northwest Airlink,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:On a night repositioning flight, while en route, the stick shaker activated several times before the plane entered a aerodynamic stall. Almost simultaneously both engines stopped. The crew declared an emergency but the plane did not make the airport, crashed and broke up. PC:  The pilots' unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots' inadequate training The pilots' failure to prepare for an emergency landing in a timely manner, including communicating with air traffic controllers immediately after the emergency about the loss of both engines and the availability of landing sites and the pilots' failure to achieve and maintain the target airspeed in the double engine failure checklist, which caused the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident was the engine core lock condition, which prevented at least one engine from being restarted, and the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating."
"Date:October 15, 2004","Location:Near Medellin, Colombia",Operator:Aerovanguardia,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:During descent in poor weather, the cargo plane struck a mountain near the airport."
"Date:October 16, 2004","Location:Coron Island, Philippines",Operator:Pacific Air,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:A few minutes after takeoff, the cargo plane struck the side Tagbao mountain a few  kilometers from the airport."
