Date,Year,Location,Aboard,Fatalities,Summary,Cause
July 27, 1953,Near Kanggye, North Korea,21 (passengers:15 crew:6),21 (passengers:15 crew:6),"Shot down by a U.S. Air Force F-86 jet fighter towards the end of the Korean War. The Russian government claimed the plane was over Chinese air space.",Azar
August 03, 1953,Off Fethiye Point, Turkey,42 (passengers:34 crew:8),4 (passengers:4 crew:0),"The No. 3 engine broke away from the aircraft following severe vibrations causing loss of control of the No. 4 engine and necessitating a ditching 1.5 miles from the coast. Failure in flight of a propeller blade. Four passengers drowned.",Provocado
August 03, 1953,Sharjah, United Arab Emirates,25 (passengers:21 crew:4),1 (passengers:1 crew:0),"Shortly after taking off, the aircraft entered a turn and crashed to the ground. The failure of the captain to supervise the first officer in flying the plane who was not able to fly on instruments in the dark.",Provocado
December 21, 1924,Goshen, Indiana,1 (passengers:0 crew:1),1 (passengers:0 crew:1),"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",Azar
December 24, 1924,Purley, England,8 (passengers:7 crew:1),8 (passengers:7 crew:1),"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsequent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",Provocado
April 25, 1925,Alicante, Spain,3 (passengers:1 crew:2),3 (passengers:1 crew:2),"Shortly after takeoff, while flying at a low altitude, in poor visibility, the aircraft hit a lightning rod, stalled and crashed.",Azar
June 25, 1925,Landr�cies, France,4 (passengers:3 crew:1),4 (passengers:3 crew:1),"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",Provocado
June 26, 1925,Alicante, Spain,2 (passengers:0 crew:2),2 (passengers:0 crew:2),"While attempting to land the seaplane hit a lightning mast and crashed.",Azar
July 20, 1925,Rosas, Spain,1 (passengers:0 crew:1),1 (passengers:0 crew:1),"Crashed in unknown circumstance.",Azar
July 24, 1925,Budapest, Hungary,1 (passengers:0 crew:1),1 (passengers:0 crew:1),"Crashed while attempting to land 10 km from the airport.",Provocado
September 03, 1925,Caldwell, Ohio,43 (passengers:0 crew:43),14 (passengers:0 crew:14),"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.",Azar
December 28, 1978,Portland, Oregon,189 (passengers:181 crew:8),10 (passengers:8 crew:2),"While on a flight from Denver to Portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. Failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. Contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain.",Provocado
January 15, 1979,Minsk, Russia,13 (passengers:9 crew:5),13 (passengers:8 crew:5),"The pilot switched off the de-icing system too early during the approach through clouds in icing conditions which resulted in the aircraft losing longitudinal stability and pitching over and crashed.",Provocado
January 24, 1979,Bechar, Algeria,23 (passengers:20 crew:3),14 (passengers:14 crew:0),"Crashed short of the runway on approach. Crew error. Non-compliance with proper procedure, lack of crew coordination, crew fatigue and faulty altimeter.",Provocado
January 27, 1979,Rodez, France,6 (passengers:4 crew:2),5 (passengers:3 crew:2),"Struck a mountain. Failure of the crew to level off at the prescribed altitude either due to inadequate monitoring or an altimeter setting error by confusion between QNH and QFE.",Provocado
January 30, 1979,125 miles ENE of Tokyo, Japan,6 (passengers:0 crew:6),6 (passengers:0 crew:6),"Contact with the cargo plane was lost 30 minutes after taking off from Tokyo Narita Airport. The cargo included 153 paintings by Manabu Mabe, returning from a Tokyo exhibition, valued at US$1.24 million. Neither the wreck nor the paintings were ever found. The cause of the accident was blamed on cabin depressurization, which killed the crew.",Azar
February 08, 1979,Near Agudos, Brazil,18 (passengers:16 crew:2),18 (passengers:16 crew:2),"Hit trees and burst into flames shortly after taking off.",Provocado
February 12, 1979,Near Kariba, Rhodesia,59 (passengers:54 crew:5),59 (passengers:54 crew:5),"Shot down by rebels with 2 surface-to-air missiles a few minutes after taking off from Kariba.",Azar
February 12, 1979,Clarksburg, West Virginia,25 (passengers:22 crew:3),2 (passengers:1 crew:1),"The plane crashed inverted shortly after lifting off the ground. The captain's decision to take off with snow on the aircraft's wing and empennage surfaces which resulted in a loss of lateral control and a loss of lift as the aircraft ascended out of ground effect.",Provocado
February 17, 1979,Manakau Harbor, New Zealand,4 (passengers:2 crew:2),2 (passengers:1 crew:1),"Flew into the water while on ILS approach. The crew was misled by a visual illusion in conditions of reduced visibility into believing they were at a safe height and consequently failed to monitor the flight instruments sufficiently to confirm their aircraft maintained a safe approach path.",Provocado

