"Date:August 24, 1921","Location:River Humber, England",Aboard:49   (passengers:0  crew:49),Fatalities:43   (passengers:0  crew:43),"Summary:Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
"Date:September 06, 1921","Location:Paris, France",Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
"Date:December 05, 1921","Location:Near Murchinson River, Australia",Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
"Date:January 14, 1922","Location:Paris, France",Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:Crashed at Le Bourget field.
"Date:February 21, 1922","Location:Near Norfolk, Virginia",Aboard:45   (passengers:?  crew:?),Fatalities:34   (passengers:?  crew:?),Summary:Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
"Date:March 22, 1922",Location:North Atlantic Ocean,Aboard:6   (passengers:5  crew:1),Fatalities:5   (passengers:5  crew:0),"Summary:The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
"Date:April 07, 1922","Location:Grandvilliers, France",Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
"Date:April 08, 1922","Location:Pao Ting Fou, China",Aboard:17   (passengers:0  crew:17),Fatalities:17   (passengers:0  crew:17),Summary:Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
"Date:June 03, 1922","Location:Off Folkestone, Kent, England",Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),Summary:Went down into the English Channel while en route.
"Date:July 04, 1922","Location:Fuhlsbuttel, Germany",Aboard:3   (passengers:2  crew:1),Fatalities:2   (passengers:1  crew:1),"Summary:The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
"Date:July 16, 1922","Location:Near Saverne, Lorraine, France",Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
"Date:July 26, 1922","Location:Cadix, Spain",Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
"Date:September 07, 1922","Location:Indianapolis, Indiana",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The plane stalled shortly after takeoff and crashed.
"Date:October 02, 1922","Location:Venice, Italy",Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),Summary:Shortly after taking off the plane crashed into the sea and sank.
"Date:October 25, 1922","Location:Larache, Morocco",Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:Crashed under unknown circumstances.
"Date:December 03, 1922","Location:Fez, Morocco",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
"Date:January 10, 1923","Location:Ajaccio, France",Aboard:4   (passengers:2  crew:2),Fatalities:3   (passengers:1  crew:2),Summary:The plane crashed mid-air due to a structural failure of the tail.
"Date:January 17, 1923","Location:Barcelona, Spain",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed into a mountain during a snowstorm.
"Date:January 18, 1923","Location:Cheyenne, Wyoming",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed during a mail flight.
"Date:February 26, 1923","Location:Meadville, Pennsylvania",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The pilot lost control of the aircraft  while on approach in poor weather conditions.
"Date:May 14, 1923","Location:Near Amiens, Picrdie, France",Aboard:6   (passengers:4  crew:2),Fatalities:6   (passengers:4  crew:2),"Summary:Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
"Date:August 27, 1923","Location:East Mallling, United Kingdom",Aboard:11   (passengers:9  crew:2),Fatalities:1   (passengers:1  crew:0),"Summary:The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
"Date:August 27, 1923","Location:Bucharest, Romania",Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:Crashed while on approach to Bucharesst.
"Date:September 07, 1923","Location:Colton, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed during an emergency landing attempt.
"Date:September 14, 1923","Location:Near Ivinghoe, Buckinghamshire, England",Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),Summary:Crashed while attempting a forced landing after encountering heavy rain.
"Date:November 18, 1923",Location:Russia,Aboard:5   (passengers:2  crew:3),Fatalities:3   (passengers:1  crew:2),Summary:Crashed during a training flight.
"Date:December 06, 1923","Location:Castalia, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed under unknown circumstances.
"Date:December 23, 1923",Location:Over the Mediterranean Sea,Aboard:52   (passengers:?  crew:?),Fatalities:52   (passengers:?  crew:?),"Summary:Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
"Date:December 24, 1923","Location:Egbert, WY",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed into a montain in poor weather conditions.
"Date:March 07, 1924","Location:Grampian, Pennsylvania",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed during a snowstorm.
"Date:April 24, 1924",Location:Over the English Channel,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),Summary:The aircraft disappeared over the North Sea. The plane and passengers were never found.
"Date:June 08, 1924","Location:Barranquilla, Colombia",Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),Summary:Stalled after taking off and crashed into houses..
"Date:August 01, 1924",Location:United States,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
"Date:November 06, 1924","Location:Cabrerolles, France",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While en route the pilot encountered thunderstorms, lost control and crashed."
"Date:December 21, 1924","Location:Goshen, Indiana",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
"Date:December 24, 1924","Location:Purley, England",Aboard:8   (passengers:7  crew:1),Fatalities:8   (passengers:7  crew:1),"Summary:Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
"Date:March 22, 1925","Location:Near Tiflis, Georgia, USSR",Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),Summary:Shortly after take off the plane went out of control and crashed in flames.
"Date:April 25, 1925","Location:Alicante, Spain",Aboard:3   (passengers:1  crew:2),Fatalities:3   (passengers:1  crew:2),"Summary:Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
"Date:June 25, 1925","Location:Landr�cies, France",Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),"Summary:While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
"Date:June 26, 1925","Location:Alicante, Spain",Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:While attempting to land the seaplane hit a lightning mast and crashed.
"Date:July 20, 1925","Location:Rosas, Spain",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed in unknown circumstance.
"Date:July 24, 1925","Location:Budapest, Hungary",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed while attempting to land 10 km from the airport
"Date:September 03, 1925","Location:Caldwell, Ohio",Aboard:43   (passengers:0  crew:43),Fatalities:14   (passengers:0  crew:14),"Summary:The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
"Date:September 07, 1925","Location:Toul, France",Aboard:?   (passengers:?  crew:?),Fatalities:?   (passengers:?  crew:?),Summary:?
"Date:October 01, 1925","Location:Mt. Nittany, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed into a wooded area on Mt. Nittany in fog and low visibility.
"Date:November 14, 1925","Location:Nouadhibou, Mauritania",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The pilot suffered sunstroke lost control of the plane and crashed.
"Date:November 14, 1925","Location:Off Boulogne-sur-Mer, France",Aboard:2   (passengers:?  crew:?),Fatalities:2   (passengers:?  crew:?),Summary:?
"Date:February 12, 1926","Location:Montpelier, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
"Date:March 08, 1926","Location:Staaken, Germany",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:While in a training filight the aircraft stalled and crashed while attempting to land.
"Date:May 31, 1926",Location:English Channel,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The mail plane crashed into the English Channel and was never found.
"Date:July 03, 1926","Location:Rossaugpt, Czechoslovakia",Aboard:6   (passengers:4  crew:2),Fatalities:6   (passengers:4  crew:2),Summary:Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
"Date:July 09, 1926","Location:Wolvertem, Belgium",Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:Crashed into the ground while descending in poor weather.
"Date:July 24, 1926","Location:Juist, Germany",Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:Crashed under weather related.circumstances.
"Date:August 18, 1926","Location:Hurst, Kent, England",Aboard:15   (passengers:13  crew:2),Fatalities:3   (passengers:2  crew:1),Summary:The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
"Date:September 26, 1926","Location:New York, New York",Aboard:5   (passengers:4  crew:1),Fatalities:2   (passengers:2  crew:0),Summary:Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
"Date:October 02, 1926","Location:Leigh, Kent, Unied Kingdom",Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
"Date:October 08, 1926","Location:Bueren, Germany",Aboard:4   (passengers:3  crew:1),Fatalities:4   (passengers:3  crew:1),Summary:Weather related.
"Date:October 21, 1926",Location:English Channel,Aboard:12   (passengers:10  crew:2),Fatalities:0   (passengers:0  crew:0),"Summary:The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
"Date:November 11, 1926","Location:Cape Bojador, Morocco",Aboard:3   (passengers:3  crew:0),Fatalities:3   (passengers:3  crew:0),"Summary:While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
"Date:December 16, 1926","Location:Medford, Oregon",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The postal plane crashed into a mountain slope in foggy conditions.
"Date:January 12, 1927","Location:Estaires, France",Aboard:0   (passengers:0  crew:2),Fatalities:0   (passengers:0  crew:2),Summary:The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
"Date:March 20, 1927","Location:Rabat, Morocco",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Unknown.
"Date:March 24, 1927","Location:Tambo, Qld, Australia",Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:While attempting to land, the engine failed, the aircraft stalled and crashed."
"Date:April 15, 1927","Location:King Hill, Idaho",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
"Date:April 22, 1927","Location:Floh, Germany",Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:Crashed following engine failure.
"Date:April 22, 1927","Location:Goshen, Indiana",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed into a field during a snow storm.
"Date:May 02, 1927","Location:Algiers, Algeria",Aboard:3   (passengers:0  crew:3),Fatalities:1   (passengers:0  crew:1),Summary:The three engine seaplane stalled and crashed into the sea shortly after taking off.
